"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",136,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",138,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",139,11
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",140,16
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",141,5
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",142,1
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",143,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",144,3
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",145,5
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",146,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",149,1
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",150,6
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",152,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",153,6
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",154,9
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",156,3
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",157,3
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",160,3
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",161,8
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",162,1
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",163,46
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",164,1
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",168,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",171,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",175,1
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",176,8
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",179,2
"Solyc11g005170.2.1 RNA-binding 39 (AHRD V3.3 *** A0A0B0PR36_GOSAR)",180,1
